"","extGene","wt.group","tgfb.group","shZ.group","CA1a.group"
"8969","LHFPL3-AS2",2,6,5,2
"8970","LHFPL4",5,4,7,1
"8971","LHFPL5",4,7,7,7
"8972","LHPP",1,3,3,7
"8973","LHX1",5,4,6,1
"8974","LHX2",6,3,5,5
"8975","LHX4",5,4,1,5
"8976","LHX5",5,6,6,5
"8977","LHX6",5,4,6,2
"8978","LHX8",1,7,6,4
"8979","LHX9",1,1,6,5
"8980","LIAS",7,2,6,4
"8981","LIF",5,4,7,3
"8982","LIG1",4,2,1,3
"8983","LIG3",5,4,3,4
"8984","LIG4",1,3,3,1
"8985","LILRA1",3,6,5,1
"8986","LILRA4",4,4,2,5
"8987","LILRA5",3,4,5,7
"8988","LILRB1",3,4,1,5
"8989","LILRB2",3,1,1,7
"8990","LILRB3",5,4,6,5
"8991","LILRB4",5,4,3,5
"8992","LILRB5",1,4,2,1
"8993","LILRP2",3,6,6,1
"8994","LIM2",6,4,4,7
"8995","LIMD1",5,3,4,1
"8996","LIMD1-AS1",1,7,7,4
"8997","LIMD2",5,4,6,5
"8998","LIME1",5,4,6,5
"8999","LIMK1",7,4,7,5
"9000","LIMK2",4,7,5,7
"9001","LIMS1",5,3,2,2
"9002","LIMS3",5,4,6,5
"9003","LIN28A",3,4,3,1
"9004","LIN28B",3,6,2,2
"9005","LIN37",1,1,4,1
"9006","LIN52",3,2,4,4
"9007","LIN54",4,7,1,7
"9008","LIN7A",3,4,6,2
"9009","LIN7B",6,5,1,6
"9010","LIN7C",1,2,7,7
"9011","LIN9",6,3,4,3
"9012","LINC00028",6,4,7,3
"9013","LINC00029",1,4,5,5
"9014","LINC00032",3,6,1,2
"9015","LINC00035",4,4,2,5
"9016","LINC00051",6,5,4,6
"9017","LINC00052",2,6,6,2
"9018","LINC00085",7,5,5,5
"9019","LINC00086",5,4,6,5
"9020","LINC00087",7,5,7,5
"9021","LINC00092",5,4,6,5
"9022","LINC00094",7,5,4,6
"9023","LINC00102",5,4,6,5
"9024","LINC00111",7,5,5,7
"9025","LINC00112",4,2,3,1
"9026","LINC00113",5,4,6,5
"9027","LINC00114",3,1,2,4
"9028","LINC00115",4,3,5,7
"9029","LINC00116",2,4,6,2
"9030","LINC00152",5,4,6,4
"9031","LINC00158",2,6,6,2
"9032","LINC00159",2,1,5,4
"9033","LINC00160",2,4,7,2
"9034","LINC00161",3,6,6,2
"9035","LINC00162",6,5,3,5
"9036","LINC00163",1,1,3,3
"9037","LINC00167",5,1,6,1
"9038","LINC00173",4,4,5,4
"9039","LINC00174",3,6,6,3
"9040","LINC00176",6,4,1,7
"9041","LINC00184",3,6,6,5
"9042","LINC00189",5,6,3,5
"9043","LINC00200",5,4,7,5
"9044","LINC00202-1",2,6,2,5
"9045","LINC00202-2",2,6,6,2
"9046","LINC00207",5,4,3,5
"9047","LINC00208",2,6,7,2
"9048","LINC00210",2,6,6,2
"9049","LINC00221",4,4,6,5
"9050","LINC00226",5,4,4,6
"9051","LINC00229",5,4,4,1
"9052","LINC00235",5,4,6,3
"9053","LINC00238",2,6,6,2
"9054","LINC00239",3,1,6,1
"9055","LINC00242",2,6,7,5
"9056","LINC00244",3,6,7,5
"9057","LINC00251",2,6,6,5
"9058","LINC00260",5,6,4,5
"9059","LINC00261",3,6,4,1
"9060","LINC00264",2,6,6,5
"9061","LINC00265",4,7,5,7
"9062","LINC00272",2,3,4,2
"9063","LINC00273",3,6,6,5
"9064","LINC00277",5,7,3,7
"9065","LINC00278",5,4,6,5
"9066","LINC00282",5,4,5,5
"9067","LINC00284",3,4,7,2
"9068","LINC00290",2,6,6,2
"9069","LINC00293",3,4,4,2
"9070","LINC00294",5,2,5,3
"9071","LINC00297",2,4,4,6
"9072","LINC00301",2,6,7,5
"9073","LINC00304",5,4,6,3
"9074","LINC00307",2,6,6,2
"9075","LINC00308",2,6,2,4
"9076","LINC00309",2,6,1,2
"9077","LINC00310",3,4,6,5
"9078","LINC00311",5,5,7,5
"9079","LINC00312",2,6,6,2
"9080","LINC00313",1,3,2,1
"9081","LINC00314",2,6,6,2
"9082","LINC00317",2,4,4,2
"9083","LINC00319",1,1,3,1
"9084","LINC00323",3,4,6,6
"9085","LINC00324",1,7,5,1
"9086","LINC00327",2,1,5,2
"9087","LINC00330",5,4,1,5
"9088","LINC00331",5,4,5,4
"9089","LINC00332",2,6,6,2
"9090","LINC00333",2,6,2,2
"9091","LINC00336",5,1,6,5
"9092","LINC00339",5,1,4,5
"9093","LINC00340",5,4,6,6
"9094","LINC00341",5,3,7,2
"9095","LINC00343",5,6,6,2
"9096","LINC00346",1,7,4,1
"9097","LINC00347",7,4,1,2
"9098","LINC00348",3,6,6,5
"9099","LINC00351",5,4,2,5
"9100","LINC00353",2,6,3,2
"9101","LINC00359",2,6,4,5
"9102","LINC00366",5,4,3,5
"9103","LINC00379",2,6,5,2
"9104","LINC00381",3,6,6,2
"9105","LINC00398",4,7,2,7
"9106","LINC00410",2,6,6,2
"9107","LINC00421",5,4,6,5
"9108","LINC00423",2,6,6,2
"9109","LINC00424",2,4,1,2
"9110","LINC00426",2,4,6,5
"9111","LINC00433",7,3,5,6
"9112","LINC00441",4,1,5,7
"9113","LINC00442",3,6,7,4
"9114","LINC00443",3,6,1,2
"9115","LINC00446",2,6,4,4
"9116","LINC00457",7,4,3,2
"9117","LINC00460",5,1,6,4
"9118","LINC00462",2,4,6,5
"9119","LINC00466",6,3,6,3
"9120","LINC00467",3,7,3,3
"9121","LINC00469",2,1,6,4
"9122","LINC00470",2,4,6,5
"9123","LINC00471",7,5,5,6
"9124","LINC00472",5,4,6,6
"9125","LINC00473",3,4,1,6
"9126","LINC00474",2,4,6,2
"9127","LINC00475",6,3,3,5
"9128","LINC00476",4,2,5,7
"9129","LINC00477",5,4,5,1
"9130","LINC00478",2,6,6,2
"9131","LINC00482",4,7,5,6
"9132","LINC00483",5,3,3,5
"9133","LINC00485",5,4,4,5
"9134","LINC00486",2,6,6,2
"9135","LINC00487",3,1,5,7
"9136","LINC00488",3,1,6,2
"9137","LINC00489",5,1,5,5
"9138","LINC00493",4,7,1,4
"9139","LINC00494",7,4,7,1
"9140","LINC00499",2,4,6,5
"9141","LINC00502",2,6,6,2
"9142","LINC00507",2,6,6,2
"9143","LINC00511",5,6,6,5
"9144","LINC00515",5,6,6,2
"9145","LINC00518",3,1,6,2
"9146","LINC00520",5,4,6,2
"9147","LINC00521",5,2,1,4
"9148","LINC00523",5,4,6,5
"9149","LINC00526",7,5,2,5
"9150","LINC00534",2,4,6,2
"9151","LINC00535",6,4,6,6
"9152","LINC00536",5,4,7,5
"9153","LINC00538",2,6,6,2
"9154","LINC00544",5,4,7,5
"9155","LINC00547",2,4,6,4
"9156","LINC00548",5,4,7,5
"9157","LINC00550",2,6,6,2
"9158","LINC00551",5,4,6,2
"9159","LINC00552",7,4,6,5
"9160","LINC00558",2,6,4,2
"9161","LINC00559",2,6,4,3
"9162","LINC00563",2,6,6,2
"9163","LINC00565",4,2,7,3
"9164","LINC00568",6,2,3,6
"9165","LINC00570",2,4,1,5
"9166","LINC00571",2,6,5,2
"9167","LINC00574",1,3,5,7
"9168","LINC00575",2,4,6,5
"9169","LINC00577",5,6,6,5
"9170","LINC00578",2,1,4,1
"9171","LINC00582",2,6,6,5
"9172","LINC00583",2,6,6,2
"9173","LINC00588",5,6,6,5
"9174","LINC00589",5,4,6,2
"9175","LINC00592",4,5,5,5
"9176","LINC00593",5,1,5,5
"9177","LINC00597",2,6,5,2
"9178","LINC00602",7,2,5,6
"9179","LINC00605",5,4,4,5
"9180","LINC00606",7,6,4,5
"9181","LINC00607",3,4,6,2
"9182","LINC00608",2,6,6,5
"9183","LINC00612",6,4,7,6
"9184","LINC00615",2,6,6,2
"9185","LINC00616",2,6,6,2
"9186","LINC00617",5,4,6,5
"9187","LINC00619",3,4,2,5
"9188","LINC00620",5,4,4,5
"9189","LINC00622",2,4,6,5
"9190","LINC00624",5,4,6,5
"9191","LINC00626",2,6,3,2
"9192","LINC00628",3,6,4,2
"9193","LINC00629",5,4,6,5
"9194","LINC00630",3,4,2,4
"9195","LINC00632",2,6,3,4
"9196","LINC00633",5,4,6,5
"9197","LINC00635",2,6,1,2
"9198","LINC00636",2,4,6,2
"9199","LINC00637",5,4,6,5
"9200","LINC00638",4,5,3,1
"9201","LINC00640",2,4,3,5
"9202","LINC00642",4,4,4,7
"9203","LINC00643",1,4,6,2
"9204","LINC00645",2,4,6,2
"9205","LINC00651",3,4,6,4
"9206","LINC00654",4,4,6,7
"9207","LINC00656",2,4,1,2
"9208","LINC00657",4,4,6,5
"9209","LINC00658",5,6,6,5
"9210","LINC00659",7,5,7,6
"9211","LINC00661",5,3,3,3
"9212","LINC00662",1,7,4,3
"9213","LINC00665",5,2,1,5
"9214","LINC00670",2,6,1,2
"9215","LINC00672",1,4,5,4
"9216","LINC00673",1,2,2,3
"9217","LINC00674",6,5,4,3
"9218","LINC00675",3,4,3,5
"9219","LINC00684",5,4,6,5
"9220","LINC00689",5,4,1,5
"9221","LINC00691",2,4,6,2
"9222","LINC00692",2,6,2,2
"9223","LINC00693",3,6,7,5
"9224","LINC00696",7,5,2,7
"9225","LINC00700",2,6,6,4
"9226","LINC00701",5,4,1,5
"9227","LINC00705",3,6,3,3
"9228","LINC00707",3,4,6,5
"9229","LINC00710",5,2,1,4
"9230","LINC00837",3,1,2,2
"9231","LINC00838",3,4,3,2
"9232","LINC00839",2,6,6,5
"9233","LINC00840",2,5,2,5
"9234","LINC00842",5,7,6,7
"9235","LINC00847",4,7,5,7
"9236","LINC00851",3,4,7,5
"9237","LINC00852",5,4,1,2
"9238","LINC00853",1,1,7,1
"9239","LINC00854",5,4,4,5
"9240","LINC00856",3,4,6,4
"9241","LINC00857",7,3,4,3
"9242","LINC00861",2,6,6,5
"9243","LINC00862",2,4,3,5
"9244","LINC00864",7,4,6,6
"9245","LINC00865",2,6,6,2
"9246","LINC00870",5,4,6,2
"9247","LINC00880",2,4,1,2
"9248","LINC00881",5,4,6,5
"9249","LINC00883",1,1,7,5
"9250","LINC00884",5,4,6,5
"9251","LINC00886",6,4,7,3
"9252","LINC00887",7,3,6,5
"9253","LINC00888",4,7,5,7
"9254","LINC00889",2,4,6,5
"9255","LINC00890",2,6,6,2
"9256","LINC00891",5,4,6,5
"9257","LINC00892",3,1,4,5
"9258","LINC00895",7,4,5,5
"9259","LINC00896",1,1,1,1
"9260","LINC00898",7,1,2,6
"9261","LINC00899",1,7,2,5
"9262","LINC00900",7,4,6,5
"9263","LINC00904",3,4,7,2
"9264","LINC00905",5,4,7,5
"9265","LINC00906",2,6,6,4
"9266","LINC00907",5,4,7,4
"9267","LINC00908",3,1,6,5
"9268","LINC00909",6,4,6,5
"9269","LINC00917",5,3,3,1
"9270","LINC00918",2,4,7,2
"9271","LINC00919",2,6,6,2
"9272","LINC00920",3,1,1,4
"9273","LINC00922",3,4,7,1
"9274","LINC00923",2,4,6,5
"9275","LINC00924",2,6,4,2
"9276","LINC00925",1,4,6,7
"9277","LINC00927",6,7,2,7
"9278","LINC00928",5,6,1,2
"9279","LINC00929",2,4,6,2
"9280","LINC00930",3,6,7,2
"9281","LINC00933",4,5,5,6
"9282","LINC00935",2,6,3,2
"9283","LINC00936",5,4,6,5
"9284","LINC00938",4,2,2,5
"9285","LINC00940",1,7,6,5
"9286","LINC00941",1,7,2,1
"9287","LINC00942",6,4,6,3
"9288","LINC00943",5,6,6,2
"9289","LINC00944",2,4,6,5
"9290","LINC00948",3,6,3,2
"9291","LINC00950",5,5,7,2
"9292","LINC00951",3,4,7,5
"9293","LINC00954",5,4,3,7
"9294","LINC00955",4,4,7,7
"9295","LINGO1",5,4,6,5
"9296","LINGO3",5,4,6,6
"9297","LINGO4",5,4,2,7
"9298","LINS",7,2,3,6
"9299","LIPA",4,1,1,5
"9300","LIPC",7,2,1,2
"9301","LIPE",2,4,4,5
"9302","LIPE-AS1",6,5,2,6
"9303","LIPF",2,6,6,2
"9304","LIPG",6,2,7,7
"9305","LIPH",2,4,6,5
"9306","LIPI",2,6,5,2
"9307","LIPJ",2,6,6,2
"9308","LIPK",2,6,3,2
"9309","LIPM",2,6,3,2
"9310","LIPN",2,6,2,2
"9311","LIPT1",6,7,2,7
"9312","LIPT2",5,5,7,5
"9313","LITAF",5,3,7,3
"9314","LIX1",3,6,6,4
"9315","LIX1L",3,3,1,5
"9316","LLGL1",7,5,4,6
"9317","LLGL2",5,4,1,5
"9318","LLPH",4,7,2,7
"9319","LMAN1",4,7,2,7
"9320","LMAN1L",6,3,4,3
"9321","LMAN2",1,2,3,3
"9322","LMAN2L",3,1,4,4
"9323","LMBR1",7,4,3,6
"9324","LMBR1L",1,1,4,1
"9325","LMBRD1",1,1,2,1
"9326","LMBRD2",1,3,3,1
"9327","LMCD1",7,5,5,3
"9328","LMCD1-AS1",4,4,2,7
"9329","LMF2",4,4,1,7
"9330","LMLN",4,1,2,1
"9331","LMNA",6,2,3,3
"9332","LMNB1",4,4,1,4
"9333","LMNB2",5,3,3,3
"9334","LMO1",3,4,6,5
"9335","LMO2",3,1,3,5
"9336","LMO4",6,4,7,3
"9337","LMOD1",4,1,1,5
"9338","LMOD2",3,4,5,7
"9339","LMOD3",2,4,1,2
"9340","LMTK2",5,4,3,7
"9341","LMTK3",5,3,6,6
"9342","LMX1A",5,4,6,5
"9343","LMX1B",5,1,6,1
"9344","LNP1",6,3,3,3
"9345","LNPEP",3,4,3,2
"9346","LNX1",5,3,5,5
"9347","LNX1-AS1",5,4,5,5
"9348","LNX1-AS2",5,3,7,5
"9349","LNX2",7,2,5,6
"9350","LOC100093698",2,6,6,5
"9351","LOC100126784",6,7,2,7
"9352","LOC100127888",6,2,5,7
"9353","LOC100127983",7,1,7,6
"9354","LOC100128076",5,3,5,3
"9355","LOC100128164",6,3,7,6
"9356","LOC100128176",5,4,7,2
"9357","LOC100128239",1,5,4,1
"9358","LOC100128288",2,5,6,5
"9359","LOC100128338",4,4,1,7
"9360","LOC100128361",5,1,1,7
"9361","LOC100128505",2,4,6,4
"9362","LOC100128531",6,2,7,6
"9363","LOC100128554",5,4,6,5
"9364","LOC100128568",5,4,4,3
"9365","LOC100128593",6,5,6,3
"9366","LOC100128714",3,6,6,2
"9367","LOC100128750",5,5,6,6
"9368","LOC100128770",5,1,4,5
"9369","LOC100128787",2,4,7,2
"9370","LOC100128822",5,4,6,5
"9371","LOC100128893",6,4,3,5
"9372","LOC100128946",7,4,5,6
"9373","LOC100128993",3,6,1,5
"9374","LOC100129027",4,3,5,5
"9375","LOC100129034",5,4,4,1
"9376","LOC100129046",3,3,4,5
"9377","LOC100129055",3,6,3,5
"9378","LOC100129083",5,6,6,5
"9379","LOC100129138",3,6,6,5
"9380","LOC100129148",3,1,4,5
"9381","LOC100129175",1,7,2,5
"9382","LOC100129213",2,6,6,2
"9383","LOC100129216",2,6,5,2
"9384","LOC100129316",6,1,3,5
"9385","LOC100129345",2,6,3,2
"9386","LOC100129361",3,6,5,4
"9387","LOC100129427",5,3,4,4
"9388","LOC100129518",4,2,2,5
"9389","LOC100129520",5,4,4,5
"9390","LOC100129534",4,2,3,6
"9391","LOC100129550",2,4,5,2
"9392","LOC100129617",5,1,6,2
"9393","LOC100129620",5,4,6,5
"9394","LOC100129636",5,4,6,2
"9395","LOC100129722",4,5,7,7
"9396","LOC100129726",6,2,3,3
"9397","LOC100129858",7,2,1,4
"9398","LOC100129917",7,5,5,1
"9399","LOC100129924",5,4,3,5
"9400","LOC100129931",4,4,1,1
"9401","LOC100129935",3,5,7,4
"9402","LOC100129961",6,5,2,3
"9403","LOC100129973",1,1,1,7
"9404","LOC100130000",5,4,6,5
"9405","LOC100130015",5,4,4,5
"9406","LOC100130155",3,6,1,2
"9407","LOC100130238",6,7,7,5
"9408","LOC100130264",2,4,6,2
"9409","LOC100130298",2,4,6,5
"9410","LOC100130301",2,6,6,5
"9411","LOC100130331",3,6,1,2
"9412","LOC100130348",7,4,3,2
"9413","LOC100130357",3,6,6,2
"9414","LOC100130417",6,4,6,3
"9415","LOC100130451",5,5,7,6
"9416","LOC100130452",2,6,6,2
"9417","LOC100130476",1,1,7,7
"9418","LOC100130480",2,4,4,4
"9419","LOC100130539",5,4,3,4
"9420","LOC100130557",6,3,3,6
"9421","LOC100130673",5,4,6,4
"9422","LOC100130700",5,4,6,2
"9423","LOC100130705",5,4,7,3
"9424","LOC100130744",4,3,4,5
"9425","LOC100130849",5,4,6,2
"9426","LOC100130880",5,1,6,2
"9427","LOC100130899",5,3,6,3
"9428","LOC100130954",6,4,1,6
"9429","LOC100130964",2,6,6,2
"9430","LOC100130987",6,2,3,7
"9431","LOC100130992",7,4,2,6
"9432","LOC100131047",2,6,3,2
"9433","LOC100131060",6,3,6,1
"9434","LOC100131067",6,2,2,6
"9435","LOC100131094",4,4,6,6
"9436","LOC100131138",5,4,6,5
"9437","LOC100131257",2,6,5,2
"9438","LOC100131289",5,4,7,6
"9439","LOC100131320",5,4,6,5
"9440","LOC100131496",6,7,2,7
"9441","LOC100131564",4,7,1,1
"9442","LOC100131626",2,6,5,2
"9443","LOC100131635",5,4,6,6
"9444","LOC100131655",5,1,1,1
"9445","LOC100131691",6,3,7,6
"9446","LOC100131825",5,4,4,5
"9447","LOC100132077",5,4,6,5
"9448","LOC100132078",3,4,1,1
"9449","LOC100132111",5,4,6,5
"9450","LOC100132146",2,6,7,5
"9451","LOC100132215",7,4,3,3
"9452","LOC100132352",5,4,6,4
"9453","LOC100132354",7,4,7,3
"9454","LOC100132356",6,7,1,6
"9455","LOC100132707",3,1,6,7
"9456","LOC100132735",2,6,6,2
"9457","LOC100132781",2,6,7,2
"9458","LOC100132831",5,4,6,5
"9459","LOC100132891",5,4,7,1
"9460","LOC100133091",4,3,5,7
"9461","LOC100133123",2,6,6,2
"9462","LOC100133286",3,4,1,5
"9463","LOC100133315",3,5,2,6
"9464","LOC100133445",1,4,1,3
"9465","LOC100133461",6,3,5,3
"9466","LOC100133612",1,5,1,6
"9467","LOC100133669",7,5,1,1
"9468","LOC100133920",5,4,6,5
"9469","LOC100133957",4,7,2,4
"9470","LOC100133985",5,3,1,3
"9471","LOC100134229",1,1,4,1
"9472","LOC100134317",5,4,1,5
"9473","LOC100134368",1,1,1,5
"9474","LOC100144595",3,6,6,5
"9475","LOC100144597",7,4,1,5
"9476","LOC100144602",1,4,4,1
"9477","LOC100169752",5,4,1,5
"9478","LOC100188947",5,4,7,1
"9479","LOC100190940",5,4,6,5
"9480","LOC100192426",5,4,1,2
"9481","LOC100216479",5,4,6,5
"9482","LOC100216545",6,3,3,1
"9483","LOC100216546",2,4,6,2
"9484","LOC100268168",4,4,6,5
"9485","LOC100270679",2,6,6,2
"9486","LOC100270746",1,1,4,4
"9487","LOC100270804",3,1,4,4
"9488","LOC100271832",5,4,7,2
"9489","LOC100272217",4,7,4,7
"9490","LOC100286922",3,6,1,2
"9491","LOC100287010",2,6,6,2
"9492","LOC100287015",6,2,4,7
"9493","LOC100287036",4,2,3,3
"9494","LOC100287042",1,4,7,1
"9495","LOC100287177",4,7,2,1
"9496","LOC100287225",2,4,6,2
"9497","LOC100287632",5,4,4,2
"9498","LOC100287792",5,3,2,3
"9499","LOC100287834",5,4,1,5
"9500","LOC100287846",4,1,1,5
"9501","LOC100287879",2,6,6,2
"9502","LOC100287944",1,1,2,1
"9503","LOC100288079",2,4,6,2
"9504","LOC100288123",5,4,3,5
"9505","LOC100288181",4,7,2,5
"9506","LOC100288198",4,1,3,7
"9507","LOC100288255",5,4,6,5
"9508","LOC100288346",5,4,6,7
"9509","LOC100288524",5,4,6,5
"9510","LOC100288637",5,4,7,5
"9511","LOC100288748",4,5,2,7
"9512","LOC100288814",3,4,6,2
"9513","LOC100288842",6,5,7,6
"9514","LOC100288846",6,2,4,6
"9515","LOC100288911",5,1,6,1
"9516","LOC100289019",7,1,4,6
"9517","LOC100289092",7,1,7,7
"9518","LOC100289187",5,1,6,5
"9519","LOC100289230",4,7,2,7
"9520","LOC100289341",4,4,3,6
"9521","LOC100289361",7,7,3,4
"9522","LOC100289388",3,4,4,6
"9523","LOC100289473",5,6,6,5
"9524","LOC100289495",6,5,1,3
"9525","LOC100289509",3,7,2,4
"9526","LOC100289511",1,2,3,3
"9527","LOC100289650",5,4,6,5
"9528","LOC100289656",5,4,5,4
"9529","LOC100289673",2,6,6,2
"9530","LOC100294145",4,7,2,7
"9531","LOC100294362",4,7,4,7
"9532","LOC100303749",2,6,4,2
"9533","LOC100335030",5,1,2,2
"9534","LOC100379224",7,4,7,6
"9535","LOC100499194",3,4,6,5
"9536","LOC100499227",6,7,7,5
"9537","LOC100499405",5,1,6,5
"9538","LOC100499489",1,1,5,7
"9539","LOC100500773",2,4,6,2
"9540","LOC100505474",5,4,7,5
"9541","LOC100505478",2,4,6,2
"9542","LOC100505495",5,4,6,3
"9543","LOC100505540",1,4,6,5
"9544","LOC100505549",4,3,1,5
"9545","LOC100505622",7,1,3,6
"9546","LOC100505624",3,3,6,1
"9547","LOC100505633",7,1,4,4
"9548","LOC100505658",3,4,1,5
"9549","LOC100505659",2,4,6,2
"9550","LOC100505666",7,7,7,7
"9551","LOC100505676",1,3,3,1
"9552","LOC100505695",7,5,5,6
"9553","LOC100505702",2,4,4,5
"9554","LOC100505715",4,3,7,4
"9555","LOC100505716",5,4,6,5
"9556","LOC100505718",2,6,6,2
"9557","LOC100505738",4,3,5,1
"9558","LOC100505761",1,1,3,3
"9559","LOC100505768",5,4,3,5
"9560","LOC100505776",5,6,6,5
"9561","LOC100505782",5,4,6,5
"9562","LOC100505795",5,1,6,3
"9563","LOC100505806",5,4,4,5
"9564","LOC100505812",5,4,6,5
"9565","LOC100505835",2,6,3,5
"9566","LOC100505841",2,6,6,2
"9567","LOC100505875",2,6,6,5
"9568","LOC100505876",3,1,2,4
"9569","LOC100505912",5,6,6,2
"9570","LOC100505918",2,6,6,2
"9571","LOC100505933",5,1,4,3
"9572","LOC100505964",3,4,2,4
"9573","LOC100505978",5,4,6,5
"9574","LOC100505989",2,4,6,4
"9575","LOC100506013",2,6,6,2
"9576","LOC100506023",6,2,1,7
"9577","LOC100506025",2,6,6,2
"9578","LOC100506035",2,6,6,3
"9579","LOC100506050",2,6,7,2
"9580","LOC100506054",1,1,4,1
"9581","LOC100506071",2,6,3,2
"9582","LOC100506082",3,4,4,1
"9583","LOC100506083",5,5,7,4
"9584","LOC100506085",2,6,5,2
"9585","LOC100506100",4,7,2,6
"9586","LOC100506122",2,6,6,2
"9587","LOC100506123",5,4,6,5
"9588","LOC100506124",2,6,3,2
"9589","LOC100506134",2,6,6,2
"9590","LOC100506136",2,6,5,2
"9591","LOC100506178",5,1,1,1
"9592","LOC100506190",1,5,1,1
"9593","LOC100506207",6,2,3,3
"9594","LOC100506233",4,5,4,4
"9595","LOC100506241",3,4,2,5
"9596","LOC100506274",2,6,1,2
"9597","LOC100506305",3,4,6,5
"9598","LOC100506314",7,4,6,4
"9599","LOC100506321",3,6,6,5
"9600","LOC100506343",4,2,5,3
"9601","LOC100506368",1,7,2,7
"9602","LOC100506384",5,4,3,6
"9603","LOC100506385",3,1,6,4
"9604","LOC100506388",5,3,6,3
"9605","LOC100506393",2,6,6,2
"9606","LOC100506394",5,4,6,5
"9607","LOC100506421",5,6,6,2
"9608","LOC100506422",2,6,5,2
"9609","LOC100506474",2,6,6,2
"9610","LOC100506497",2,4,6,5
"9611","LOC100506548",2,4,4,2
"9612","LOC100506585",5,4,6,6
"9613","LOC100506599",5,4,4,6
"9614","LOC100506639",6,7,7,3
"9615","LOC100506655",3,6,4,1
"9616","LOC100506688",7,4,7,5
"9617","LOC100506710",1,7,1,3
"9618","LOC100506714",6,2,3,1
"9619","LOC100506730",3,4,6,5
"9620","LOC100506746",7,4,6,6
"9621","LOC100506776",5,4,3,3
"9622","LOC100506795",1,5,2,1
"9623","LOC100506801",1,1,6,5
"9624","LOC100506804",7,5,2,6
"9625","LOC100506810",5,4,6,2
"9626","LOC100506834",5,4,5,4
"9627","LOC100506844",2,7,1,4
"9628","LOC100506895",5,3,3,2
"9629","LOC100506963",7,1,6,6
"9630","LOC100507003",7,5,1,5
"9631","LOC100507032",5,4,5,5
"9632","LOC100507053",6,2,7,6
"9633","LOC100507066",3,4,6,5
"9634","LOC100507091",5,6,1,2
"9635","LOC100507117",2,4,6,2
"9636","LOC100507140",2,6,1,5
"9637","LOC100507156",7,5,1,3
"9638","LOC100507173",5,3,2,3
"9639","LOC100507194",5,4,6,5
"9640","LOC100507205",3,6,6,2
"9641","LOC100507244",2,6,1,2
"9642","LOC100507250",5,2,2,4
"9643","LOC100507266",7,7,7,7
"9644","LOC100507299",6,2,1,6
"9645","LOC100507300",5,4,3,2
"9646","LOC100507334",5,4,6,5
"9647","LOC100507346",5,4,6,2
"9648","LOC100507351",5,3,4,1
"9649","LOC100507362",7,5,5,3
"9650","LOC100507373",7,4,4,6
"9651","LOC100507377",5,4,7,6
"9652","LOC100507384",3,5,5,4
"9653","LOC100507389",3,6,6,5
"9654","LOC100507391",2,6,6,5
"9655","LOC100507424",2,6,6,5
"9656","LOC100507443",2,6,6,5
"9657","LOC100507462",4,2,7,3
"9658","LOC100507463",6,7,2,1
"9659","LOC100507489",2,6,6,2
"9660","LOC100507501",4,7,1,7
"9661","LOC100507537",2,6,6,2
"9662","LOC100507557",4,7,2,7
"9663","LOC100507564",6,2,3,6
"9664","LOC100507577",5,6,6,2
"9665","LOC100507584",4,4,3,1
"9666","LOC100507600",5,5,2,6
"9667","LOC100507602",6,2,3,3
"9668","LOC100507632",3,4,3,5
"9669","LOC100507634",4,5,5,6
"9670","LOC100507651",7,4,2,6
"9671","LOC100527964",3,6,2,5
"9672","LOC100616530",1,7,2,7
"9673","LOC100630918",4,7,1,7
"9674","LOC100631378",7,4,6,5
"9675","LOC100652739",5,2,6,5
"9676","LOC100652758",3,1,6,5
"9677","LOC100652768",4,7,5,5
"9678","LOC100652770",5,4,6,2
"9679","LOC100652772",7,5,2,6
"9680","LOC100652791",5,4,6,5
"9681","LOC100652999",5,4,3,2
"9682","LOC100653515",5,5,6,1
"9683","LOC100873065",2,4,6,2
"9684","LOC100996291",6,4,4,5
"9685","LOC100996325",5,4,7,5
"9686","LOC100996455",6,3,2,3
"9687","LOC100996485",4,7,1,7
"9688","LOC101410533",4,7,5,7
"9689","LOC101559451",4,7,2,7
"9690","LOC113230",5,4,5,5
"9691","LOC116437",5,1,2,5
"9692","LOC143666",7,5,7,6
"9693","LOC145474",2,4,6,2
"9694","LOC145837",5,5,1,4
"9695","LOC145845",2,6,7,5
"9696","LOC146481",3,6,5,4
"9697","LOC146513",1,5,6,1
"9698","LOC146880",6,3,7,6
"9699","LOC147093",5,4,5,1
"9700","LOC147646",7,4,6,6
"9701","LOC148413",7,1,4,1
"9702","LOC148696",5,4,7,6
"9703","LOC148709",6,2,6,3
"9704","LOC149086",5,4,1,1
"9705","LOC149373",5,3,6,4
"9706","LOC149950",3,1,6,5
"9707","LOC150568",3,6,5,2
"9708","LOC150622",3,1,6,2
"9709","LOC150935",4,5,5,5
"9710","LOC151171",2,6,6,5
"9711","LOC151174",3,4,7,5
"9712","LOC151475",5,4,1,5
"9713","LOC151484",5,4,7,7
"9714","LOC152225",2,6,6,5
"9715","LOC152578",5,4,6,2
"9716","LOC153684",4,3,2,1
"9717","LOC153910",2,6,6,2
"9718","LOC154092",5,4,4,5
"9719","LOC154449",3,2,6,4
"9720","LOC154761",7,4,6,5
"9721","LOC154872",2,6,5,2
"9722","LOC157273",5,6,6,5
"9723","LOC157381",3,6,6,2
"9724","LOC158376",5,4,3,5
"9725","LOC158434",4,5,3,2
