"","extGene","wt.group","tgfb.group","shZ.group","CA1a.group"
"444","AHSG",5,4,4,3
"445","AHSP",2,1,6,5
"446","AICDA",2,6,6,5
"447","AIDA",1,1,5,1
"448","AIF1",1,3,2,7
"449","AIF1L",7,5,4,6
"450","AIFM2",4,3,4,5
"451","AIG1",6,7,2,7
"452","AIM1",3,7,2,5
"453","AIM1L",1,7,1,1
"454","AIM2",2,6,4,5
"455","AIMP1",3,1,4,5
"456","AIMP2",6,7,7,6
"457","AIP",4,7,5,7
"458","AIPL1",1,3,6,7
"459","AIRE",5,4,6,5
"460","AIRN",2,6,6,2
"461","AJAP1",5,4,6,5
"462","AJUBA",1,5,2,3
"463","AK1",1,3,3,5
"464","AK2",4,1,6,4
"465","AK4",5,4,3,5
"466","AK5",3,1,7,5
"467","AK7",1,7,2,7
"468","AK8",5,4,6,7
"469","AK9",7,5,4,4
"470","AKAP1",6,4,7,5
"471","AKAP10",6,3,7,3
"472","AKAP11",1,2,7,1
"473","AKAP12",5,4,6,2
"474","AKAP13",7,4,6,5
"475","AKAP14",3,4,6,4
"476","AKAP17A",5,4,6,5
"477","AKAP3",2,4,6,5
"478","AKAP4",5,4,4,2
"479","AKAP5",1,4,7,3
"480","AKAP6",2,1,7,2
"481","AKAP7",7,4,7,5
"482","AKAP8",4,7,1,1
"483","AKAP8L",1,5,7,4
"484","AKAP9",4,7,2,7
"485","AKIP1",1,7,1,7
"486","AKIRIN1",5,5,6,5
"487","AKIRIN2",3,5,5,4
"488","AKNA",3,4,6,2
"489","AKNAD1",2,4,3,5
"490","AKR1A1",1,7,1,7
"491","AKR1B1",1,1,4,1
"492","AKR1B10",1,1,6,5
"493","AKR1B15",3,1,3,7
"494","AKR1C2",5,4,5,5
"495","AKR1C3",2,6,6,5
"496","AKR1C4",2,6,7,2
"497","AKR1C6P",2,6,6,2
"498","AKR1CL1",2,6,6,2
"499","AKR1D1",2,6,3,2
"500","AKR1E2",5,4,6,5
"501","AKR7A2",7,4,7,6
"502","AKR7A2P1",4,4,2,5
"503","AKR7A3",6,2,3,3
"504","AKR7L",5,4,6,5
"505","AKT1",5,4,6,5
"506","AKT1S1",4,7,1,7
"507","AKT2",5,5,6,5
"508","AKT3",2,6,6,2
"509","AKTIP",4,3,2,7
"510","ALAD",4,1,5,7
"511","ALAS1",6,7,4,1
"512","ALAS2",2,6,6,2
"513","ALB",2,6,6,2
"514","ALCAM",1,5,6,7
"515","ALDH16A1",4,1,1,4
"516","ALDH18A1",4,3,5,3
"517","ALDH1A1",2,6,5,2
"518","ALDH1A2",5,4,7,5
"519","ALDH1A3",5,4,6,5
"520","ALDH1B1",4,7,3,7
"521","ALDH1L1",1,3,5,5
"522","ALDH1L1-AS1",6,2,3,5
"523","ALDH1L1-AS2",1,5,6,1
"524","ALDH1L2",1,1,4,1
"525","ALDH2",1,4,4,1
"526","ALDH3A1",5,3,5,5
"527","ALDH3A2",6,2,7,6
"528","ALDH3B1",4,7,4,1
"529","ALDH3B2",3,6,6,5
"530","ALDH5A1",7,5,5,6
"531","ALDH6A1",1,7,4,7
"532","ALDH7A1",1,3,2,7
"533","ALDH8A1",2,6,5,2
"534","ALDH9A1",1,1,5,1
"535","ALDOA",6,2,1,6
"536","ALDOB",2,6,6,5
"537","ALDOC",6,5,5,4
"538","ALG1",3,1,5,7
"539","ALG10",1,1,2,5
"540","ALG10B",3,1,4,4
"541","ALG12",1,1,4,1
"542","ALG13",1,1,2,2
"543","ALG14",7,7,4,2
"544","ALG1L2",5,4,7,7
"545","ALG2",7,5,5,6
"546","ALG3",4,1,3,1
"547","ALG5",3,4,4,5
"548","ALG6",6,1,3,1
"549","ALG8",5,4,4,1
"550","ALG9",1,1,6,4
"551","ALK",3,4,6,5
"552","ALKBH1",4,1,2,5
"553","ALKBH2",3,7,2,7
"554","ALKBH3",4,1,1,4
"555","ALKBH4",7,5,7,6
"556","ALKBH5",7,5,5,6
"557","ALKBH6",7,2,7,4
"558","ALKBH7",5,6,6,2
"559","ALKBH8",4,1,5,7
"560","ALLC",5,6,7,2
"561","ALMS1",1,1,1,1
"562","ALMS1P",5,4,5,5
"563","ALOX12",7,4,6,5
"564","ALOX12B",5,4,1,5
"565","ALOX12P2",1,1,5,5
"566","ALOX15",6,4,7,5
"567","ALOX15B",4,4,3,5
"568","ALOX15P1",7,5,1,7
"569","ALOX5",7,5,7,6
"570","ALOX5AP",5,5,7,6
"571","ALOXE3",4,5,7,7
"572","ALPI",6,4,5,7
"573","ALPK1",2,6,6,2
"574","ALPK2",5,6,6,5
"575","ALPK3",7,4,5,5
"576","ALPL",7,2,7,6
"577","ALPP",4,3,7,1
"578","ALPPL2",1,1,6,5
"579","ALS2",1,7,1,4
"580","ALS2CL",1,3,1,1
"581","ALS2CR11",5,6,3,5
"582","ALS2CR12",2,6,6,2
"583","ALS2CR8",5,3,7,4
"584","ALX1",5,4,6,5
"585","ALX3",5,4,7,1
"586","ALX4",7,4,5,5
"587","ALYREF",5,4,3,3
"588","AMACR",1,7,1,1
"589","AMBN",2,6,6,5
"590","AMBP",4,1,1,4
"591","AMD1",6,2,1,4
"592","AMDHD1",7,5,1,6
"593","AMDHD2",5,4,6,6
"594","AMELX",2,6,7,4
"595","AMELY",5,4,6,5
"596","AMER1",4,2,2,3
"597","AMER2",7,4,6,5
"598","AMER3",5,3,1,6
"599","AMFR",5,4,7,5
"600","AMH",7,3,2,7
"601","AMHR2",5,1,3,5
"602","AMIGO1",1,3,3,3
"603","AMIGO2",1,5,7,5
"604","AMIGO3",5,3,4,5
"605","AMMECR1",6,5,2,1
"606","AMMECR1L",6,2,2,6
"607","AMN",5,4,5,5
"608","AMN1",6,3,5,1
"609","AMOT",3,4,2,2
"610","AMOTL1",4,7,5,5
"611","AMOTL2",6,2,5,3
"612","AMPD1",2,6,2,5
"613","AMPD2",4,7,2,1
"614","AMPD3",7,4,7,6
"615","AMPH",7,5,3,5
"616","AMT",5,4,7,5
"617","AMTN",2,6,5,2
"618","AMY1A",5,4,6,5
"619","AMY2A",2,6,6,2
"620","AMZ1",5,4,7,5
"621","AMZ2",6,7,3,7
"622","ANAPC1",6,5,7,6
"623","ANAPC10",6,1,2,1
"624","ANAPC11",1,1,2,7
"625","ANAPC13",6,7,2,7
"626","ANAPC15",5,3,6,2
"627","ANAPC16",4,7,5,7
"628","ANAPC1P1",5,4,6,5
"629","ANAPC2",1,7,6,7
"630","ANAPC4",4,7,1,6
"631","ANAPC5",1,1,4,1
"632","ANAPC7",3,3,2,4
"633","ANG",1,1,2,1
"634","ANGEL1",1,1,4,1
"635","ANGEL2",1,1,4,4
"636","ANGPT1",2,6,4,2
"637","ANGPT2",3,4,3,5
"638","ANGPT4",7,4,1,1
"639","ANGPTL1",2,6,7,2
"640","ANGPTL2",6,5,1,5
"641","ANGPTL3",2,6,6,2
"642","ANGPTL4",4,7,5,5
"643","ANGPTL5",3,6,4,2
"644","ANGPTL6",5,2,2,1
"645","ANGPTL7",3,1,6,1
"646","ANHX",5,4,6,5
"647","ANK2",2,6,5,2
"648","ANK3",2,6,6,2
"649","ANKAR",5,4,6,5
"650","ANKDD1A",5,4,6,5
"651","ANKEF1",5,4,4,5
"652","ANKFN1",2,4,3,5
"653","ANKFY1",1,5,7,1
"654","ANKH",5,1,1,5
"655","ANKHD1-EIF4EBP3",4,5,6,7
"656","ANKIB1",6,5,6,1
"657","ANKK1",1,2,6,5
"658","ANKLE1",5,4,6,4
"659","ANKLE2",7,5,7,6
"660","ANKMY1",7,4,4,3
"661","ANKMY2",1,1,1,1
"662","ANKRA2",1,3,2,3
"663","ANKRD1",3,6,6,2
"664","ANKRD10",6,2,3,6
"665","ANKRD11",7,5,7,6
"666","ANKRD12",7,5,3,6
"667","ANKRD13A",6,3,3,1
"668","ANKRD13B",5,4,7,5
"669","ANKRD13C",1,1,4,3
"670","ANKRD13D",5,5,7,5
"671","ANKRD16",5,4,6,5
"672","ANKRD17",6,3,3,3
"673","ANKRD18A",4,7,2,7
"674","ANKRD18B",4,1,2,7
"675","ANKRD18DP",4,4,2,5
"676","ANKRD2",6,3,1,3
"677","ANKRD20A9P",5,6,6,5
"678","ANKRD22",4,4,1,2
"679","ANKRD23",5,2,4,6
"680","ANKRD24",5,4,5,7
"681","ANKRD26",1,3,1,1
"682","ANKRD26P1",1,4,4,5
"683","ANKRD26P3",5,4,6,5
"684","ANKRD27",7,5,6,5
"685","ANKRD28",6,4,6,5
"686","ANKRD29",5,3,3,3
"687","ANKRD30A",5,6,1,3
"688","ANKRD30B",5,4,6,5
"689","ANKRD30BP2",5,4,6,5
"690","ANKRD31",6,5,1,3
"691","ANKRD32",6,7,7,4
"692","ANKRD33",3,1,5,5
"693","ANKRD33B",5,4,6,5
"694","ANKRD34A",1,1,4,4
"695","ANKRD34B",5,4,6,5
"696","ANKRD34C",5,4,6,6
"697","ANKRD35",4,7,1,7
