"","target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","gene_id","ensembl_gene_id"
"490","EN1",0.861885918551596,0.974451315704629,-0.140779419426567,0.809198173611424,1.74498822784137,0.777911214602928,0.982552943980817,0.005601353031219,0.446105276039688,0.446105276039688,"2019","ENSG00000163064"
"491","ENAH",0.860643290024693,0.974451315704629,0.0244606196896056,0.139332814056068,12.8904451313437,0.195134873395878,0.000264842960527647,0.042092174652817,0.0363827777567025,0.042092174652817,"55740","ENSG00000154380"
"492","ENPP6",0.479771620078723,0.848488470381763,-0.5031673186713,0.712025935881404,1.99441364499045,1.83841994779007,0.564843972463343,0.541296245793651,0.402126092193014,0.541296245793651,"133121","ENSG00000164303"
"493","EPB41L4B",0.659952878552158,0.914835163251723,0.0608468507562211,0.138295141289861,9.84668191323682,0.196921850269397,0.00310038947095129,0.00724047554758359,0.0386280747567927,0.0386280747567927,"54566","ENSG00000095203"
"494","EPB41L5",0.0302935786455858,0.418607899721968,0.302492875056883,0.13964020774773,9.68538707730201,0.0636136223461403,0.003045954617912,0.0130885563153756,0.0394981638253514,0.0394981638253514,"57669","ENSG00000115109"
"495","EPGN",0.321304038180028,0.77609424803706,-0.30585672843638,0.308391187110511,11.2543886946429,0.850437833683339,0.00142385770736602,0.206078231647027,0.034488021003517,0.206078231647027,"255324","ENSG00000182585"
"496","EPHB2",0.196813432889104,0.69415645379992,0.600928801453452,0.465589573730052,9.78012971042813,2.36933675558479,0.00453836547000586,0.468422327983371,0.0389717451805203,0.468422327983371,"2048","ENSG00000133216"
"497","EPHB3",0.286663275260535,0.7562497869968,0.290206980689956,0.272374603825832,8.30563521400806,1.24629947537817,0.00814616697140333,0.153718396248842,0.0517827851870153,0.153718396248842,"2049","ENSG00000182580"
"498","EPOR",0.111463614040438,0.598572059931065,-0.407724309241469,0.25616472761611,6.28869099391027,0.31474487881305,0.0314170931602824,0.111754618129832,0.0891235741302847,0.111754618129832,"2057","ENSG00000187266"
"499","EPS8L2",0.612326235528657,0.899279564207345,0.0642524338187215,0.126791731109618,11.9740628843251,0.353401327909181,0.000583912134208512,0.0279239856498252,0.0344913091263884,0.0344913091263884,"64787","ENSG00000177106"
"500","ERC2",0.58850523969429,0.889798610505787,0.302657161363014,0.559436709176496,3.55400225013584,0.836289010345842,0.278835695134058,0.404006701027894,0.214459379193477,0.404006701027894,"26059","ENSG00000187672"
"501","ERCC3",0.125036384478958,0.617879672582935,-0.197749952425454,0.128913611363649,10.9402089222107,0.027146610062253,0.00133246298236151,0.0165798605168119,0.034926560715423,0.034926560715423,"2071","ENSG00000163161"
"502","ERF",0.577014520657435,0.886909329919045,0.0936959099619985,0.167988821275941,10.3744945738292,0.0769598271099705,0.00165362717887043,0.0599178144364313,0.0364584253691452,0.0599178144364313,"2077","ENSG00000105722"
"503","ERGIC1",0.188940381484184,0.686462472298813,0.172612380053588,0.131392042529685,13.1804155281701,0.205914277557848,0.000211118686773701,0.0342638006110248,0.0374555042371299,0.0374555042371299,"57222","ENSG00000113719"
"504","ETS1",0.151063638830265,0.647653812737397,0.420628981107212,0.292961058761443,10.7192031719859,0.730360852944841,0.00150085274536811,0.185756271510542,0.0354121892728967,0.185756271510542,"2113","ENSG00000134954"
"505","ETV1",0.636844665655605,0.908215448403782,-0.301472968220267,0.638558257649421,7.85840709748713,4.5961855520595,0.0549643210350815,0.834686548228042,0.0579010807804415,0.834686548228042,"2115","ENSG00000006468"
"506","ETV5",0.565352260526821,0.882301475501043,-0.20127471742707,0.350097869437277,10.1931375487965,2.59055486452163,0.00531812046554667,0.262104101027953,0.0371185880483803,0.262104101027953,"2119","ENSG00000244405"
"507","EVI5",0.217368414293798,0.709793622462265,0.221586646859988,0.179632424515772,9.41856554314413,0.21566597764897,0.00900843232361329,0.0613940577216548,0.0411592065527758,0.0613940577216548,"7813","ENSG00000067208"
